Time,Avg_Intelligence,Truth_Adoption,Avg_Suppression,Civilization_Oscillation
0,5.0,1.0,7.5,0.05
1,4.0,3.4984375,7.822852027256886,1.0
2,2.9,6.227401607131958,7.577339052770313,1.0
3,1.69,9.17908216613262,7.294276740590206,1.0
4,0.3589999999999993,12.331356953213575,7.023892067015376,1.0
5,0.0,15.64374053511559,6.7710221298199516,1.0
6,0.0,19.054180120361725,6.535828795148315,1.0
7,0.0,22.47810435451261,6.318008929526994,1.0
8,0.0,25.811430093133527,6.117278147509651,1.0
9,0.0,28.938959916882897,5.9334398137831545,1.0
10,0.0,31.748368374301236,5.766406613272602,1.0
11,0.0,34.14774673936467,5.616220251837843,1.0
12,0.0,36.082210654367344,5.4830770610953365,1.0
13,0.0,37.54390461238093,5.3673632565717515,1.0
14,0.0,38.57125319976576,5.269704397620754,1.0
15,0.0,39.23734880632044,5.191035889295274,1.0
16,0.0,39.63177540441019,5.132705261322994,1.0
17,0.0,39.842299679657785,5.0966234775200885,1.0
18,0.0,39.9406680877542,5.063823510379693,1.0
19,0.0,39.977723030753054,4.873599729480766,1.0
20,0.017622149079773664,39.9916422594749,4.611911946725367,1.0
21,0.38374907214394804,39.99686530158569,4.32138633971252,1.0
22,1.1107580841958677,39.9988244113264,4.022999520425033,1.0
23,2.2018048249775632,39.99955914345046,3.726919728205597,1.0
24,4.012822569508473,39.99983467727553,3.4379266259115013,1.0
25,6.582202387034863,39.9999380037648,3.1581204366913687,1.0
26,8.887126198929653,39.99997675138177,2.8882757882019763,1.0
27,12.003654525782114,39.99999128176394,2.6285179458633774,1.0
28,16.00799343485169,39.99999673066088,2.3786602742289453,1.0
29,19.944838587510723,39.999998773997746,2.1383723443701683,1.0
30,24.858383593990105,39.99999954024914,1.9072633946675264,1.0
31,29.84690282115643,39.99999982759343,1.68492349722056,1.0
32,35.7004972582587,39.99999993534754,1.4709436045734245,1.0
33,41.1825046093256,39.99999997575533,1.2649250627626023,1.0
34,47.09494780880856,39.99999999090825,1.0664838824140503,1.0
35,52.09494780880857,39.999999996590596,0.8833667137232588,1.0
36,57.09494780880857,39.99999999872148,0.7269356265189421,1.0
37,62.09494780880857,39.999999999520554,0.5761596703686547,1.0
