Time,Avg_Intelligence,Avg_Knowledge,Truth_Adoption,Apparent_Truth,Truth_Distortion,Avg_Suppression,Event_Horizon,Beyond_Horizon,Lifecycle_Intensity,Lifecycle_Phase,Inflation_Multiplier,Is_Inflating,Dark_Energy_Effect,Background_Knowledge,Knowledge_Suppression_Ratio,Critical_Transition
0,5.0,1.0,1.0,0.0,0.0,7.5,0.0,False,0.0,0,0.0,False,0.0,0.0,0.0,False
1,4.228394782011475,0.95,3.4990975,0.76,0.24,8.570557437972303,11.25,True,0.1,0,1.0,False,0.0,0.32136693307950603,0.13333333333333333,False
2,3.4661671869644977,0.9025000000000001,5.98972200095524,2.449554936850012,1.0495425631499882,8.325820259550378,14.244693802724049,True,0.1,0,1.0,False,0.0,0.3410631545744247,0.11084459871781213,False
3,2.7434466393037837,0.8573749999999999,7.98972200095524,4.281016125480786,1.708705875474454,7.939803120233131,15.332884663961224,True,0.1,0,1.0,False,0.0,0.3590623235508569,0.10839772801541817,False
4,2.0162941037097157,0.8145062499999998,9.98972200095524,5.885715895402973,2.1040061055522665,7.554867006976627,16.201654286001805,True,0.10668606946672327,0,1.0,False,0.0,0.3747356090899523,0.10798441561039933,False
5,1.2653764365002327,0.7737809374999999,11.98972200095524,7.564001964176407,2.425720036778832,7.186717658605369,17.081627239676145,True,0.12959088965914106,0,1.0,False,0.0,0.38750120044703934,0.10781212286699882,False
6,0.7599410822091406,0.7350918906249998,13.98972200095524,9.299802446223701,2.6899195547315387,6.836297886359932,18.00469585461157,True,0.1511618369644845,0,1.0,False,0.0,0.3968781432108974,0.10766819767484191,False
7,0.44745751180860277,0.6983372960937497,15.98972200095524,11.083612272240108,2.9061097287151316,6.50293889842838,18.977061895700302,True,0.17147659009247163,0,1.0,False,0.0,0.40251359996544284,0.1075277734885845,False
8,0.23539303052305463,0.6634204312890623,17.98972200095524,12.90815678042111,3.0815652205341286,6.185830532967266,20.00186346515794,True,0.19060830409692958,0,1.0,True,0.0,0.40420000099126985,0.10738795289350217,True
9,0.12138694855297356,0.6302494097246091,19.98972200095524,14.76748350449918,3.2222384964560593,5.883521966321882,21.081989482424156,True,0.20862587381300518,0,1.8,True,0.0,0.40188476308781945,0.10724840063971615,False
10,0.007280223996809077,0.5987369392383786,21.98972200095524,16.657163604655477,3.3325583962997634,5.596680126703141,22.21793762052193,True,0.2255941819529868,0,1.5926545765453743,True,0.0,0.39567315917282075,0.1071211110168784,False
11,0.0,0.5688000922764596,23.950790743566344,18.57191440667585,3.4178075942793864,5.323867583359865,23.417991238404845,True,0.2415743327541504,0,1.4390493088752212,True,0.0,0.3858245775674921,0.10698073244916338,False
12,0.0,0.534672086739872,26.16470696459933,20.47546536994315,3.4753253736231944,5.17117399205353,24.683070732862472,True,0.25662387202001413,0,1.3252557277924795,True,0.0,0.3727424704778217,0.1068396392979956,False
13,0.0,0.49617569649460125,28.624125422260143,22.51499788870803,3.6497090758912982,5.058481979392529,27.13347302257213,True,0.27079699434738824,0,1.2409553695297617,True,0.0,0.3569584640953424,0.10339471995363046,False
14,0.0,0.45330611631746776,31.29049767413552,24.747822561341394,3.8763028609187504,4.982221833889488,30.82055750145398,True,0.28414473828546016,0,1.1785041281187438,True,0.0,0.3391113010957514,0.09808786480132657,False
