Year,Intelligence Growth,Truth Adoption,Suppression Feedback,Civilization Oscillation
1000.0,0.0,0.0,1.0,0.0
1001.0009765625,0.0,0.19969517019309269,0.9970094401485124,0.0004994789884206057
1002.001953125,0.0,0.3983933863612199,0.9940430018819977,0.0009969101652871726
1003.0029296875,0.0,0.5960996256769846,0.9910997588270116,0.001492249983600074
1004.00390625,0.0,0.7928188404650349,0.9881787858742259,0.001985455287857915
1005.0048828125,0.0,0.9885559583261516,0.9852791594964608,0.0024764833169810575
1006.005859375,0.0,1.1833158822606604,0.9823999580663504,0.002965291707182443
1007.0068359375,0.0,1.377103490791245,0.9795402621735064,0.0034518384947856326
1008.0078125,0.0,1.56992363808516,0.9766991549410553,0.003936082118989972
1009.0087890625,0.0,1.7617811540758144,0.9738757223414182,0.004417981424582816
1010.009765625,0.0,1.952680844583754,0.9710690535112073,0.004897495664598729
1011.0107421875,0.0,2.142627491437046,0.9682782410651121,0.005374584502925617
1012.01171875,0.0,2.331625852591066,0.9655023814086442,0.005849208016857701
1013.0126953125,0.0,2.519680662247663,0.9627405750496205,0.0063213266995953135
1014.013671875,0.0,2.70679663097376,0.9599919269082523,0.006790901462691452
1015.0146484375,0.0,2.892978445819341,0.9572555466257198,0.007257893638445039
1016.015625,0.0,3.078230770434862,0.954530548871103,0.007722264982240873
1017.0166015625,0.0,3.262558245188063,0.9518160536465485,0.008183977674836234
1018.017578125,0.0,3.4459654872802092,0.9491111865905457,0.008642994324594108
1019.0185546875,0.0,3.6284570908617564,0.9464150792791908,0.009099277969663021
1020.01953125,0.0,3.8100376271473957,0.9437268695253173,0.009552792080103468
1021.0205078125,0.0,3.990711644530607,0.94104570167537,0.010003500559960935
1022.021484375,0.0,4.170483668697544,0.9383707269039052,0.010451367749285496
1023.0224609375,0.0,4.3493582027404365,0.935701103505594,0.010896358426097997
1024.0234375,0.0,4.527339727270352,0.9330359971846147,0.011338437808302858
1025.0244140625,0.0,4.704432700529466,0.930374581341313,0.01177757155554745
1026.025390625,0.0,4.880641558502701,0.9277160373560184,0.012213725771028148
1027.0263671875,0.0,5.055970715028875,0.9250595548698963,0.012646867003242983
1028.02734375,0.0,5.230424561911242,0.9224043320627285,0.013076962247691054
1029.0283203125,0.0,5.404007469027512,0.9197495759275034,0.013503978948518602
1030.029296875,0.0,5.576723784439297,0.9170945025417099,0.013927885000111873
1031.0302734375,0.0,5.748577834501054,0.9144383373352205,0.014348648748636813
1032.03125,0.0,5.91957392396842,0.9117803153546596,0.014766238993525574
1033.0322265625,0.0,6.089716336106075,0.9091196815241459,0.015180624988910032
1034.033203125,0.0,6.259009332795009,0.9064556909023056,0.015591776445002177
1035.0341796875,0.0,6.427457154639282,0.9037876089354523,0.015999663529421667
1036.03515625,0.0,6.5950640210722655,0.9011147117068291,0.016404256868470427
1037.0361328125,0.0,6.761834130462296,0.8984362861818143,0.016805527548354512
1038.037109375,0.028304835934619632,6.927771660217883,0.8957516304489891,0.017203447116353222
1039.0380859375,0.5291529323170465,7.092880766892322,0.8930600539569713,0.017597987581935606
1040.0390625,1.0280204872185124,7.257165586287817,0.8903608777469182,0.017989121417824463
1041.0400390625,1.524861371769365,7.420630233559082,0.8876534346806044,0.018376821561007887
1042.041015625,2.0196296524516377,7.583278803316409,0.884937069663982,0.018761061413698495
1043.0419921875,2.512279595716702,7.745115369728253,0.882211139866132,0.019141814844240445
1044.04296875,3.0027656725829495,7.906143986623269,0.8794750149335203,0.01951905618796437
1045.0439453125,3.491042563212879,8.066368687591865,0.8767280771994678,0.019892760247990304
1046.044921875,3.9770651614692483,8.225793486087234,0.8739697218887527,0.020262902295978765
1047.0458984375,4.460788579449748,8.384422375525888,0.8711993573172602,0.02062945807283013
1048.046875,4.942168151999777,8.542259329387697,0.8684164050865988,0.020992403789332363
1049.0478515625,5.421159441202914,8.699308301315396,0.8656203002736054,0.02135171612675737
1050.048828125,5.897718240848548,8.855573225213655,0.862810491614659,0.02170737223740598
1051.0498046875,6.371800580876251,9.011058015347588,0.8599864416847331,0.022059349745101754
1052.05078125,6.843362731796525,9.165766566440809,0.8571476270711086,0.022407626745633874
1053.0517578125,7.312361209087335,9.319702753773015,0.8542935385416797,0.022752181807149063
1054.052734375,7.7787527775661225,9.472870433277013,0.8514236812077852,0.02309299397049292
1055.0537109375,8.242494455736804,9.625273441635347,0.8485375746814949,0.023430042749500665
1056.0546875,8.703543520111275,9.776915596376377,0.8456347532272912,0.023763308131237542
1057.0556640625,9.16185750950508,9.927800695969925,0.8427147659080818,0.024092770576189117
1058.056640625,9.617394229306765,10.077932519922395,0.8397771767254848,0.024418411018401462
1059.0576171875,10.070111755720454,10.227314828871474,0.8368215647543283,0.024740210865571644
1060.05859375,10.519968439981337,10.37595136468032,0.8338475242713104,0.025058151999088545
1061.0595703125,10.966922912543467,10.523845850531286,0.8308546648777662,0.02537221677402425
1062.060546875,11.410934087239635,10.671001991019185,0.8278426116164926,0.025682388019076206
1063.0615234375,11.851961165412813,10.81742347224409,0.8248110050825826,0.025988649036460438
1064.0625,12.289963640018701,10.963113961903668,0.8217595015282223,0.026290983601755805
1065.0634765625,12.724901299699098,11.108077109385048,0.8186877729614104,0.02658937596369978
1066.064453125,13.156734232825585,11.252316545856221,0.8155955072385583,0.02688381084393579
1067.0654296875,13.585422831513132,11.395835884357034,0.8124824081509308,0.02717427343671237
1068.06640625,14.010927795603273,11.538638719889644,0.8093481955048956,0.027460749408534383
1069.0673828125,14.433210136616403,11.68072862950861,0.8061926051959456,0.02774322489776656
